company_a,company_b,similarity_score,decision,canonical_name
ontic engineering & manufacturing,ontic engineering & manufacturing uk,100.0,reject,
ntpc,ntpc ge power services pvt,100.0,reject,
nuclear power corp of india,power construction corp of china,100.0,reject,
oci,oci co ltd/new,100.0,approve,oci
oil & natural gas,oil the natural gas,100.0,approve,oil & natural gas
okabe,okabe co td,100.0,approve,okabe
omv,omv petrom,100.0,reject,
ls,ls cable & system,100.0,reject,
hunan chendian international development,hunan development,100.0,reject,
lotte chemical titan holding bhd,lotte chemical titan tbk pt,100.0,reject,
inner mongolia baotou steel union,inner mongolia baotou stool union,100.0,approve,inner mongolia baotou steel union
holcim,holcim liban sal,100.0,reject,
holcim,holcim philippines,100.0,reject,
huludao shougang donghua machinery,shougang,100.0,reject,
hd hyundai,hd hyundai electric,100.0,reject,
hd hyundai,hd hyundai heavy industries,100.0,reject,
hd hyundai,hd hyundai infracore,100.0,reject,
lg,lg display,100.0,reject,
kuehne + nagel international,kuehne nagel international,100.0,approve,kuehne + nagel international
kumho mitsui chemicals,mitsui,100.0,reject,
kumho mitsui chemicals,mitsui chemicals,100.0,reject,
kuwait integrated petroleum industries,kuwait petroleum,100.0,reject,
lg,lg chem,100.0,reject,
lg,lg cns,100.0,reject,
lg,lg electronics,100.0,reject,
krakatau posco pt,posco,100.0,reject,
lg,lg energy solution,100.0,reject,
lg,lg innotek,100.0,reject,
lg,lg mma,100.0,reject,
lg,lg uplus,100.0,reject,
liebherr-international,liebherr-international deutschland,100.0,reject,
linamar,linamar forgings,100.0,reject,
kraton,kraton formosa polymers,100.0,reject,
korea national oil,national oil,100.0,reject,
hd hyundai and shell base oil,hd hyundai electric,100.0,reject,
hitachi,hitachi air-conditioning & refrigerating products gua,100.0,reject,
hd hyundai and shell base oil,shell,100.0,reject,
hd hyundai electric,hd hyundai heavy industries,100.0,reject,
hdc,hdc hyundai development co-engineering & construction,100.0,reject,
hoegh autoliners,hoegh autoliners asa,100.0,reject,
hdc,hdc hyundai engineering plastics,100.0,reject,
hiroca,hiroca holdings lid,100.0,reject,
hitachi,hitachi astemo,100.0,reject,
international aero engines,mtu aero engines,100.0,reject,
hitachi,hitachi zosen,100.0,reject,
hitachi,tata hitachi construction machinery co pvt,100.0,reject,
ho tung chemical,tung ho steel enterprise,100.0,reject,
inland waterways authority of india,steel authority of india,100.0,reject,
international aero engines,miu aero engines,100.0,reject,
linde,linde india,100.0,reject,
osaka organic chemical industry,osaka organic chemical industry lid,100.0,approve,osaka organic chemical industry
northvolt ab,northvolt ett ab,100.0,reject,
nippon electric glass,nippon sheet glass,100.0,reject,
maruzen showa unyu,showa,100.0,reject,
mitsui,mitsui e&s,100.0,reject,
posco,posco steeleon,100.0,reject,
mitsui,mitsui chemicals & skc polyurethanes,100.0,reject,
ls,ls mnm,100.0,reject,
shan xi hua yang group new energiv,shan xi hua yang group new energy,100.0,approve,shan xi hua yang group new energy
mahle,mahle metal leve,100.0,reject,
meglobal,meglobal canada ulc,100.0,reject,
mol hungarian oil & gas,mol hungarian oil g gas pic,100.0,approve,mol hungarian oil & gas
metallurgical corp of china,power construction corp of china,100.0,reject,
mitani,mitani sangyo,100.0,reject,
mitani,mitani sekisan,100.0,reject,
mitsubishi,mitsubishi gas chemical,100.0,reject,
mitsubishi,mitsubishi heavy industries,100.0,reject,
mitsubishi,mitsubishi kakoki kaisha,100.0,reject,
mitsui,mitsui matsushima,100.0,reject,
mobase,mobase electronics,100.0,reject,
mitsubishi,mitsubishi materials,100.0,reject,
miwon,miwon chemicals,100.0,reject,
mitsui,mitsui mining & smelting,100.0,reject,
mitsui,mitsui osk lines,100.0,reject,
mitsui,mitsui sumitomo metal mining brass & copper,100.0,reject,
mitsui chemicals,mitsui chemicals & skc polyurethanes,100.0,reject,
mitsui chemicals & skc polyurethanes,skc,100.0,reject,
mitsui sumitomo metal mining brass & copper,sumitomo metal mining,100.0,reject,
miwon,miwon commercial,100.0,reject,
miwon,miwon commercial cn,100.0,reject,
miwon,miwon europe,100.0,reject,
miwon,miwon spain sl sociedad unipersonal,100.0,reject,
miwon,miwon specialty chemical co ltd/new,100.0,reject,
miwon commercial,miwon commercial cn,100.0,approve,miwon commercial
mmc norilsk nickel pjsc,norilsk,100.0,reject,
mitsubishi,mitsubishi logisnext,100.0,reject,
mitsubishi,mitsubishi motors,100.0,reject,
ningbo shanshan,shanshan,100.0,reject,
pacific national holdings pty,pacific national pty,100.0,reject,
posco,posco a&c,100.0,reject,
posco,posco dx,100.0,reject,
posco,posco eco & challenge,100.0,reject,
posco,posco future m,100.0,reject,
posco,posco mc materials,100.0,reject,
pan american energy,pan american silver,100.0,reject,
osaka soda,osaka soda co td,100.0,approve,osaka soda
petrovietnam oil,petrovietnam oil phu yen jsc,100.0,reject,
noroo,noroo paint & coatings,100.0,reject,
nec,nec networks & system integration,100.0,reject,
nec,nec networks & system integration corn,100.0,reject,
nec networks & system integration,nec networks & system integration corn,100.0,approve,nec networks & system integration
nexen,nexen tire,100.0,reject,
nichia,nichia steel works,100.0,reject,
petrovietnam oil,thai binh petrovietnam oil jsc,100.0,reject,
petrovietnam oil,petrovietnam oil nam dinh jsc,100.0,reject,
mitsubishi,mitsubishi steel manufacturing,100.0,reject,
pangang,pangang group panzhihua steel vanadium,100.0,reject,
mitsubishi,ps mitsubishi construction,100.0,reject,
mitsui,mitsui chemicals,100.0,reject,
morgan sindall,morgan sindall group pic,100.0,reject,
munjal showa,showa,100.0,reject,
nanshan,shenzhen nanshan power,100.0,reject,
national petroleum,vietnam national petroleum,100.0,reject,
pangang,pangang group vanadium titanium & resources,100.0,reject,
petrovietnam gas jsc,petrovietnam low pressure gas distribution jsc,100.0,reject,
pelabuhan indonesia i persero pt,pelabuhan indonesia persero pt,100.0,approve,pelabuhan indonesia persero pt
pelabuhan indonesia iii persero pt,pelabuhan indonesia persero pt,100.0,reject,
pelabuhan indonesia iv persero pt,pelabuhan indonesia persero pt,100.0,reject,
petro vietnam construction jsc,petro vietnam lpg jsc,100.0,reject,
petroliam nasional bhd,petroliam nasional bhd 17) vector,100.0,approve,petroliam nasional bhd
petrovietnam gas city investment and development jsc,petrovietnam gas jsc,100.0,reject,
koppers,sigdo koppers,100.0,reject,
mahle,mahle behr gmbh & co kg,100.0,reject,
unigel,unigel uk,100.0,reject,
toshiba,toshiba tec,100.0,reject,
trafigura group pte,trafigura pte,100.0,reject,
vale,vale indonesia tbk pt,100.0,reject,
ts tech,ts tech north america,100.0,reject,
tvs,tvs motor,100.0,reject,
