node,industry,country,in_degree,out_degree,word_count,decision
jiangxi xiushui ganbei tungsten industry,Metals & Mining,China,1,1,5,
jilin province tonghua iron & steel international trade,Metals & Mining,China,1,0,8,
jinneng holding shanxi coal industry,Metals & Mining,China,3,0,5,
joist del golfo sa de cv,Steel,Mexico,2,0,6,
joist estructuras sa de cv,Engineering & Construction,Mexico,1,0,5,
jordan cement factories co psc,Construction Materials,Jordan,1,0,5,
kalisch fierro y acero sa de cv,Steel,Spain,1,0,7,
kao hsing chang iron & steel,Steel,Taiwan,2,2,6,
kepco plant service & engineering,Engineering & Construction,South Korea,5,55,5,
khabarovskaya toplivnaya kompaniya ooo khtk ooo,Oil & Gas Producers,Russia,1,0,6,
kinugawa rubber industrial co ltd/old,Chemicals,Japan,1,0,5,
kmi wire & cable tbk pt,Electrical Equipment,Indonesia,4,0,6,
korea district heating,Electric Utilities,South Korea,6,6,3,
korea electronic power industrial development,Electric Utilities,South Korea,2,4,5,
krakatau steel persero tbk pt,Steel,Indonesia,8,20,5,
kratos defense & security solutions,Aerospace & Defense,USA,3,0,5,
ksb se & co kgaa,Machinery,Germany,1,0,5,
kunming metallurgical yuxin silicon material,Renewable Energy,China,1,1,5,
kunming yuntong electromotion tool equipments,Steel,China,1,1,5,
liaoning shixing pharmaceutical & chemical,Chemicals,China,1,0,5,
ljg green source energy alpha srl,Renewable Energy,Romania,2,0,6,
lotte chemical titan holding bhd,Chemicals,Malaysia,2,0,5,
lotte chemical titan tbk pt,Industrial Intermediate Prod,Indonesia,2,0,5,
lti steel wire rope shanghai,Steel,China,1,0,5,
magnitogorsk iron & steel works pjsc,Steel,Russia,3,0,6,
mahle behr gmbh & co kg,Automotive,Germany,1,0,6,
malaysian npk fertilizer sdn bhd,Chemicals,Malaysia,1,0,5,
malaysian refining co sdn bhd,Oil & Gas Producers,Malaysia,1,0,5,
manufacturera de ciguenales de mexico sa de cv,Automotive,Mexico,1,0,8,
maquinados automotrices y talleres industriales de celaya sa de cv,Industrial Intermediate Prod,Mexico,1,0,10,
maritime & port authority of singapore,Transportation & Logistics,Singapore,2,0,6,
mark dynamics indonesia tbk pt,Industrial Intermediate Prod,Indonesia,1,0,5,
mcc liaoning dragon pipe industries,Steel,China,1,0,5,
medco daya abadi lestari pt,Oil & Gas Producers,Indonesia,1,0,5,
medco energi internasional tbk pt,Oil & Gas Producers,Indonesia,4,19,5,
mellitah oil & gas bb,Oil & Gas Services & Equip,Italy,1,0,5,
michu district 8 redevelopment and maintenance business association,Engineering & Construction,South Korea,1,0,8,remove
milplan engenharia construcoes e montagens ltda,Engineering & Construction,Brazil,1,0,6,
minmetals shipping & forwarding shanghai,Transportation & Logistics,China,1,0,5,
mirfa international power & water co pjsc,Electric Utilities,UAE,1,0,7,
mitra energi persada tbk pt,Oil & Gas Services & Equip,Indonesia,2,0,5,
mitra international resources tbk pt,Transportation & Logistics,Indonesia,1,0,5,
mitsui chemicals & skc polyurethanes,Chemicals,South Korea,1,1,5,
mitsui sumitomo metal mining brass & copper,Metals & Mining,Japan,1,0,7,
miwon spain sl sociedad unipersonal,Chemicals,Spain,1,0,5,
miwon specialty chemical co ltd/new,Chemicals,South Korea,7,14,5,
mol hungarian oil & gas,Oil & Gas Producers,Hungary,1,0,5,
multistrada arah sarana tbk p,Automotive,Indonesia,1,0,5,
multivac sepp haggenmueller se & co kg,Machinery,Germany,1,0,7,
nam song hau tradinginvesting petroleum jsc,Oil & Gas Producers,Vietnam,1,0,6,
nan ya printed circuit board,Technology Hardware,Taiwan,2,0,5,
nanjing julong science & technology,Chemicals,China,1,0,5,
nanjing wavelength opto-electronic science & technology,Technology Hardware,China,1,0,6,
national jsc naftogaz of ukraine,Oil & Gas Producers,Ukraine,1,0,5,
national shipping co of saudi arabia/the,Transportation & Logistics,Saudi Arabia,1,0,6,
nec networks & system integration,Technology Services,Japan,1,0,5,
nelsen steel & wire lp,Steel,USA,1,0,5,
nikken koatsu heiwa kido kk,Engineering & Construction,Japan,1,0,5,
ningbo free trade zone shoude trade,Metals & Mining,China,1,0,6,
ningbo gaofa automotive control system,Automotive,China,1,0,5,
ningbo hangzhou bay bridge development,Transportation & Logistics,China,1,0,5,
