node,industry,country,in_degree,out_degree,flag_reason,decision
central nippon expressway,Transportation & Logistics,Japan,1,0,low degree,
central power,Electric Utilities,Vietnam,1,0,low degree,
central power systems & services,Automotive,USA,1,0,low degree,
centrenergogaz ao,Engineering & Construction,Russia,1,0,low degree,
centrifugados mexicanos sa de cv,Construction Materials,Spain,1,0,low degree,
centrosolar sonnenstromfabrik,Renewable Energy,Germany,1,0,low degree,
centrotherm international,Semiconductors,Germany,1,0,low degree,
century extrusions,Industrial Intermediate Prod,India,1,0,low degree,
cf roark welding & engineering,Aerospace & Defense,USA,1,0,low degree,
cfm international,Machinery,Brazil,1,0,low degree,
cgg,Oil & Gas Services & Equip,France,1,0,low degree,
cgn daesan power,Electric Utilities,South Korea,1,0,low degree,
cgn nuclear technology development,Chemicals,China,1,0,low degree,
cgn yulchon generation,Electric Utilities,South Korea,1,0,low degree,
chalco henan aluminum fabrication,Metals & Mining,Hong Kong,1,0,low degree,
chalco ruimin,Metals & Mining,China,1,0,low degree,
champion iron,Metals & Mining,Australia,1,0,low degree,
champlain enterprises,Transportation & Logistics,USA,1,0,low degree,
changan ford mazda engine,Machinery,China,1,0,low degree,
changchun faway adient automotive metal component,Automotive,China,1,0,low degree,
changchun gas,Gas & Water Utilities,China,1,0,low degree,
changchun mann hummel fawer filter,Automotive,China,1,0,low degree,
changchun mekra lang faway vehicle mirror,Automotive,China,1,0,low degree,
changchun yidong clutch,Automotive,China,1,0,low degree,
changi airport group singapore pte,Transportation & Logistics,Singapore,1,0,low degree,
changsha communication investment holding,Engineering & Construction,China,1,0,low degree,
changshu 3f fluorochemical industry,Chemicals,China,1,0,low degree,
changzhou huawei mold,Machinery,China,1,0,low degree,
changzhou langbo seal polytron technologies,Industrial Intermediate Prod,China,1,0,low degree,
changzhou mingseal robot technology,Machinery,China,1,0,low degree,
changzhou tiansheng new materials,Chemicals,China,1,0,low degree,
chaoyang shougang beijing machinery,Industrial Intermediate Prod,China,1,0,low degree,
chart industries,Industrial Intermediate Prod,USA,1,0,low degree,
chelyabinsk metallurgical plant pjsc,Steel,Russia,1,0,low degree,
chelyabinsk pipe plant pjsc,Steel,Russia,1,0,low degree,
chemical-metallurgical plant,Metals & Mining,Russia,1,0,low degree,
chemtronics,Chemicals,South Korea,1,0,low degree,
chenbro micom,Technology Hardware,Taiwan,1,0,low degree,
cheng shin rubber industry,Automotive,Taiwan,1,0,low degree,
chengde iron & steel,Steel,China,1,0,low degree,
chengde jianlong special steel,Steel,China,1,0,low degree,
chengde xintong shoucheng mining,Metals & Mining,China,1,0,low degree,
chengdu huachuan electric parts,Automotive,China,1,0,low degree,
chengdu lingchuan automobile fuel tank coltd,Automotive,China,1,0,low degree,
chengdu ningjiang showa autoparts,Automotive,China,1,0,low degree,
