company_a,company_b,similarity_score,count_a,count_b
fomento de construcciones y contratas,formento de construcciones y contratas,98.55073,2,1
opengembangan pariwisata indonesia persero pt,pengembangan pariwisata indonesia persero pt,98.50746,1,1
twijaya karya bangunan gedung tbk pt,wijaya karya bangunan gedung tbk pt,98.24561,1,1
zhejiang jiuli hi-tech metals,zhejiang juli hi-tech metals,98.24561,1,38
mmi holdings ltd/singapore,vmmi holdings ltd/singapore,98.113205,1,1
petroliam narsional bhd,petroliam nasional bhd,97.77778,5,10
pelabuhan indonesia i persero pt,pelabuhan indonesia iv persero pt,97.674416,1,3
singanore ing corn pte,singanore ng corn pte,97.674416,1,1
opacific national pty,pacific national pty,97.560974,1,2
ounited metallurgical co jsc,united metallurgical co jsc,97.560974,1,1
engie energia chile,engike energia chile,97.4359,4,10
namura shipbuilding,tnamura shipbuilding,97.4359,9,1
jiangsu zhangsheng gaoke environmental,jiangsu zhongsheng gaoke environmental,97.36842,27,1
thintech materials technology,tthintech materials technology,97.297295,10,1
manchester airport,manchester airports,97.297295,1,1
kosogorski metallurgicheski zavod dao,kosogorski metallurgicheski zavod oao,97.297295,2,1
shun on electonic,shun on electronic,97.14286,3,1
hanwina aerospace,thanwina aerospace,97.14286,14,1
pjsc gazprom gazoraspredeleniye ufa,pjsc gazprom gazoraspredelentye ufa,97.14286,3,1
delta duna makmur tbk pt,delta dunia makmur tbk pt,97.14286,5,1
ossen innovation,tossen innovation,96.969696,2,1
century aluminum,century alumminum,96.969696,4,2
mitsubishi heavy industries,tmitsubishi heavy industries,96.969696,61,1
amkor technology,oamkor technology,96.969696,3,1
sociedad quimica y minera de chile,sociodad quimica y minera de chile,96.77419,27,4
hana technology,hanma technology,96.77419,4,4
matsuo electric,smatsuo electric,96.77419,2,1
